"","date","frequency","y","m","d","date2","dow"
"1","01012011",20,2011,1,1,2011-01-01,"Saturday"
"2","01012012",37,2012,1,1,2012-01-01,"Sunday"
"3","01012013",79,2013,1,1,2013-01-01,"Tuesday"
"4","01012014",49,2014,1,1,2014-01-01,"Wednesday"
"5","01022010",1,2010,2,1,2010-02-01,"Monday"
"6","01022011",20,2011,2,1,2011-02-01,"Tuesday"
"7","01022012",50,2012,2,1,2012-02-01,"Wednesday"
"8","01022013",51,2013,2,1,2013-02-01,"Friday"
"9","01022014",41,2014,2,1,2014-02-01,"Saturday"
"10","01032011",34,2011,3,1,2011-03-01,"Tuesday"
"11","01032012",46,2012,3,1,2012-03-01,"Thursday"
"12","01032013",61,2013,3,1,2013-03-01,"Friday"
"13","01032014",41,2014,3,1,2014-03-01,"Saturday"
"14","01042011",41,2011,4,1,2011-04-01,"Friday"
"15","01042012",25,2012,4,1,2012-04-01,"Sunday"
"16","01042013",59,2013,4,1,2013-04-01,"Monday"
"17","01042014",30,2014,4,1,2014-04-01,"Tuesday"
"18","01052010",1,2010,5,1,2010-05-01,"Saturday"
"19","01052011",42,2011,5,1,2011-05-01,"Sunday"
"20","01052012",68,2012,5,1,2012-05-01,"Tuesday"
"21","01052013",85,2013,5,1,2013-05-01,"Wednesday"
"22","01062010",8,2010,6,1,2010-06-01,"Tuesday"
"23","01062011",41,2011,6,1,2011-06-01,"Wednesday"
"24","01062012",58,2012,6,1,2012-06-01,"Friday"
"25","01062013",65,2013,6,1,2013-06-01,"Saturday"
"26","01072010",7,2010,7,1,2010-07-01,"Thursday"
"27","01072011",51,2011,7,1,2011-07-01,"Friday"
"28","01072012",47,2012,7,1,2012-07-01,"Sunday"
"29","01072013",76,2013,7,1,2013-07-01,"Monday"
"30","01082010",1,2010,8,1,2010-08-01,"Sunday"
"31","01082011",40,2011,8,1,2011-08-01,"Monday"
"32","01082012",79,2012,8,1,2012-08-01,"Wednesday"
"33","01082013",80,2013,8,1,2013-08-01,"Thursday"
"34","01092009",1,2009,9,1,2009-09-01,"Tuesday"
"35","01092010",4,2010,9,1,2010-09-01,"Wednesday"
"36","01092011",49,2011,9,1,2011-09-01,"Thursday"
"37","01092012",51,2012,9,1,2012-09-01,"Saturday"
"38","01092013",94,2013,9,1,2013-09-01,"Sunday"
"39","01102010",4,2010,10,1,2010-10-01,"Friday"
"40","01102011",27,2011,10,1,2011-10-01,"Saturday"
"41","01102012",80,2012,10,1,2012-10-01,"Monday"
"42","01102013",77,2013,10,1,2013-10-01,"Tuesday"
"43","01112010",7,2010,11,1,2010-11-01,"Monday"
"44","01112011",46,2011,11,1,2011-11-01,"Tuesday"
"45","01112012",61,2012,11,1,2012-11-01,"Thursday"
"46","01112013",78,2013,11,1,2013-11-01,"Friday"
"47","01122010",17,2010,12,1,2010-12-01,"Wednesday"
"48","01122011",54,2011,12,1,2011-12-01,"Thursday"
"49","01122012",49,2012,12,1,2012-12-01,"Saturday"
"50","01122013",34,2013,12,1,2013-12-01,"Sunday"
"51","02012011",17,2011,1,2,2011-01-02,"Sunday"
"52","02012012",22,2012,1,2,2012-01-02,"Monday"
"53","02012013",49,2013,1,2,2013-01-02,"Wednesday"
"54","02012014",43,2014,1,2,2014-01-02,"Thursday"
"55","02022011",4,2011,2,2,2011-02-02,"Wednesday"
"56","02022012",48,2012,2,2,2012-02-02,"Thursday"
"57","02022013",39,2013,2,2,2013-02-02,"Saturday"
"58","02022014",48,2014,2,2,2014-02-02,"Sunday"
"59","02032010",1,2010,3,2,2010-03-02,"Tuesday"
"60","02032011",38,2011,3,2,2011-03-02,"Wednesday"
"61","02032012",37,2012,3,2,2012-03-02,"Friday"
"62","02032013",57,2013,3,2,2013-03-02,"Saturday"
"63","02032014",33,2014,3,2,2014-03-02,"Sunday"
"64","02042011",26,2011,4,2,2011-04-02,"Saturday"
"65","02042012",83,2012,4,2,2012-04-02,"Monday"
"66","02042013",62,2013,4,2,2013-04-02,"Tuesday"
"67","02042014",54,2014,4,2,2014-04-02,"Wednesday"
"68","02052010",1,2010,5,2,2010-05-02,"Sunday"
"69","02052011",44,2011,5,2,2011-05-02,"Monday"
"70","02052012",87,2012,5,2,2012-05-02,"Wednesday"
"71","02052013",78,2013,5,2,2013-05-02,"Thursday"
"72","02052014",2,2014,5,2,2014-05-02,"Friday"
"73","02062010",5,2010,6,2,2010-06-02,"Wednesday"
"74","02062011",46,2011,6,2,2011-06-02,"Thursday"
"75","02062012",59,2012,6,2,2012-06-02,"Saturday"
"76","02062013",62,2013,6,2,2013-06-02,"Sunday"
"77","02072010",6,2010,7,2,2010-07-02,"Friday"
"78","02072011",47,2011,7,2,2011-07-02,"Saturday"
"79","02072012",55,2012,7,2,2012-07-02,"Monday"
"80","02072013",75,2013,7,2,2013-07-02,"Tuesday"
"81","02082010",9,2010,8,2,2010-08-02,"Monday"
"82","02082011",51,2011,8,2,2011-08-02,"Tuesday"
"83","02082012",60,2012,8,2,2012-08-02,"Thursday"
"84","02082013",67,2013,8,2,2013-08-02,"Friday"
"85","02092009",1,2009,9,2,2009-09-02,"Wednesday"
"86","02092010",13,2010,9,2,2010-09-02,"Thursday"
"87","02092011",38,2011,9,2,2011-09-02,"Friday"
"88","02092012",64,2012,9,2,2012-09-02,"Sunday"
"89","02092013",109,2013,9,2,2013-09-02,"Monday"
"90","02102010",4,2010,10,2,2010-10-02,"Saturday"
"91","02102011",40,2011,10,2,2011-10-02,"Sunday"
"92","02102012",67,2012,10,2,2012-10-02,"Tuesday"
"93","02102013",86,2013,10,2,2013-10-02,"Wednesday"
"94","02112010",11,2010,11,2,2010-11-02,"Tuesday"
"95","02112011",44,2011,11,2,2011-11-02,"Wednesday"
"96","02112012",40,2012,11,2,2012-11-02,"Friday"
"97","02112013",59,2013,11,2,2013-11-02,"Saturday"
"98","02122010",32,2010,12,2,2010-12-02,"Thursday"
"99","02122011",55,2011,12,2,2011-12-02,"Friday"
"100","02122012",56,2012,12,2,2012-12-02,"Sunday"
"101","02122013",55,2013,12,2,2013-12-02,"Monday"
"102","03012011",18,2011,1,3,2011-01-03,"Monday"
"103","03012012",61,2012,1,3,2012-01-03,"Tuesday"
"104","03012013",64,2013,1,3,2013-01-03,"Thursday"
"105","03012014",26,2014,1,3,2014-01-03,"Friday"
"106","03022010",1,2010,2,3,2010-02-03,"Wednesday"
"107","03022011",17,2011,2,3,2011-02-03,"Thursday"
"108","03022012",42,2012,2,3,2012-02-03,"Friday"
"109","03022013",48,2013,2,3,2013-02-03,"Sunday"
"110","03022014",49,2014,2,3,2014-02-03,"Monday"
"111","03032010",1,2010,3,3,2010-03-03,"Wednesday"
"112","03032011",35,2011,3,3,2011-03-03,"Thursday"
"113","03032012",60,2012,3,3,2012-03-03,"Saturday"
"114","03032013",45,2013,3,3,2013-03-03,"Sunday"
"115","03032014",32,2014,3,3,2014-03-03,"Monday"
"116","03042011",22,2011,4,3,2011-04-03,"Sunday"
"117","03042012",80,2012,4,3,2012-04-03,"Tuesday"
"118","03042013",53,2013,4,3,2013-04-03,"Wednesday"
"119","03042014",49,2014,4,3,2014-04-03,"Thursday"
"120","03052010",8,2010,5,3,2010-05-03,"Monday"
"121","03052011",37,2011,5,3,2011-05-03,"Tuesday"
"122","03052012",91,2012,5,3,2012-05-03,"Thursday"
"123","03052013",92,2013,5,3,2013-05-03,"Friday"
"124","03052014",2,2014,5,3,2014-05-03,"Saturday"
"125","03062010",7,2010,6,3,2010-06-03,"Thursday"
"126","03062011",34,2011,6,3,2011-06-03,"Friday"
"127","03062012",42,2012,6,3,2012-06-03,"Sunday"
"128","03062013",75,2013,6,3,2013-06-03,"Monday"
"129","03072010",2,2010,7,3,2010-07-03,"Saturday"
"130","03072011",47,2011,7,3,2011-07-03,"Sunday"
"131","03072012",58,2012,7,3,2012-07-03,"Tuesday"
"132","03072013",94,2013,7,3,2013-07-03,"Wednesday"
"133","03082010",11,2010,8,3,2010-08-03,"Tuesday"
"134","03082011",34,2011,8,3,2011-08-03,"Wednesday"
"135","03082012",59,2012,8,3,2012-08-03,"Friday"
"136","03082013",67,2013,8,3,2013-08-03,"Saturday"
"137","03092010",2,2010,9,3,2010-09-03,"Friday"
"138","03092011",38,2011,9,3,2011-09-03,"Saturday"
"139","03092012",55,2012,9,3,2012-09-03,"Monday"
"140","03092013",67,2013,9,3,2013-09-03,"Tuesday"
"141","03102010",3,2010,10,3,2010-10-03,"Sunday"
"142","03102011",38,2011,10,3,2011-10-03,"Monday"
"143","03102012",60,2012,10,3,2012-10-03,"Wednesday"
"144","03102013",74,2013,10,3,2013-10-03,"Thursday"
"145","03112010",12,2010,11,3,2010-11-03,"Wednesday"
"146","03112011",41,2011,11,3,2011-11-03,"Thursday"
"147","03112012",17,2012,11,3,2012-11-03,"Saturday"
"148","03112013",50,2013,11,3,2013-11-03,"Sunday"
"149","03122009",1,2009,12,3,2009-12-03,"Thursday"
"150","03122010",22,2010,12,3,2010-12-03,"Friday"
"151","03122011",30,2011,12,3,2011-12-03,"Saturday"
"152","03122012",67,2012,12,3,2012-12-03,"Monday"
"153","03122013",49,2013,12,3,2013-12-03,"Tuesday"
"154","04012010",2,2010,1,4,2010-01-04,"Monday"
"155","04012011",28,2011,1,4,2011-01-04,"Tuesday"
"156","04012012",27,2012,1,4,2012-01-04,"Wednesday"
"157","04012013",65,2013,1,4,2013-01-04,"Friday"
"158","04012014",44,2014,1,4,2014-01-04,"Saturday"
"159","04022011",20,2011,2,4,2011-02-04,"Friday"
"160","04022012",36,2012,2,4,2012-02-04,"Saturday"
"161","04022013",84,2013,2,4,2013-02-04,"Monday"
"162","04022014",49,2014,2,4,2014-02-04,"Tuesday"
"163","04032010",1,2010,3,4,2010-03-04,"Thursday"
"164","04032011",20,2011,3,4,2011-03-04,"Friday"
"165","04032012",32,2012,3,4,2012-03-04,"Sunday"
"166","04032013",62,2013,3,4,2013-03-04,"Monday"
"167","04032014",43,2014,3,4,2014-03-04,"Tuesday"
"168","04042011",38,2011,4,4,2011-04-04,"Monday"
"169","04042012",62,2012,4,4,2012-04-04,"Wednesday"
"170","04042013",76,2013,4,4,2013-04-04,"Thursday"
"171","04042014",47,2014,4,4,2014-04-04,"Friday"
"172","04052010",6,2010,5,4,2010-05-04,"Tuesday"
"173","04052011",62,2011,5,4,2011-05-04,"Wednesday"
"174","04052012",84,2012,5,4,2012-05-04,"Friday"
"175","04052013",83,2013,5,4,2013-05-04,"Saturday"
"176","04052014",1,2014,5,4,2014-05-04,"Sunday"
"177","04062010",3,2010,6,4,2010-06-04,"Friday"
"178","04062011",22,2011,6,4,2011-06-04,"Saturday"
"179","04062012",81,2012,6,4,2012-06-04,"Monday"
"180","04062013",87,2013,6,4,2013-06-04,"Tuesday"
"181","04072010",3,2010,7,4,2010-07-04,"Sunday"
"182","04072011",36,2011,7,4,2011-07-04,"Monday"
"183","04072012",54,2012,7,4,2012-07-04,"Wednesday"
"184","04072013",78,2013,7,4,2013-07-04,"Thursday"
"185","04082010",9,2010,8,4,2010-08-04,"Wednesday"
"186","04082011",41,2011,8,4,2011-08-04,"Thursday"
"187","04082012",62,2012,8,4,2012-08-04,"Saturday"
"188","04082013",76,2013,8,4,2013-08-04,"Sunday"
"189","04092010",3,2010,9,4,2010-09-04,"Saturday"
"190","04092011",37,2011,9,4,2011-09-04,"Sunday"
"191","04092012",64,2012,9,4,2012-09-04,"Tuesday"
"192","04092013",87,2013,9,4,2013-09-04,"Wednesday"
"193","04102010",6,2010,10,4,2010-10-04,"Monday"
"194","04102011",45,2011,10,4,2011-10-04,"Tuesday"
"195","04102012",57,2012,10,4,2012-10-04,"Thursday"
"196","04102013",52,2013,10,4,2013-10-04,"Friday"
"197","04112010",9,2010,11,4,2010-11-04,"Thursday"
"198","04112011",53,2011,11,4,2011-11-04,"Friday"
"199","04112012",39,2012,11,4,2012-11-04,"Sunday"
"200","04112013",40,2013,11,4,2013-11-04,"Monday"
"201","04122010",11,2010,12,4,2010-12-04,"Saturday"
"202","04122011",48,2011,12,4,2011-12-04,"Sunday"
"203","04122012",65,2012,12,4,2012-12-04,"Tuesday"
"204","04122013",63,2013,12,4,2013-12-04,"Wednesday"
"205","05012011",33,2011,1,5,2011-01-05,"Wednesday"
"206","05012012",63,2012,1,5,2012-01-05,"Thursday"
"207","05012013",47,2013,1,5,2013-01-05,"Saturday"
"208","05012014",39,2014,1,5,2014-01-05,"Sunday"
"209","05022011",19,2011,2,5,2011-02-05,"Saturday"
"210","05022012",28,2012,2,5,2012-02-05,"Sunday"
"211","05022013",69,2013,2,5,2013-02-05,"Tuesday"
"212","05022014",58,2014,2,5,2014-02-05,"Wednesday"
"213","05032011",26,2011,3,5,2011-03-05,"Saturday"
"214","05032012",55,2012,3,5,2012-03-05,"Monday"
"215","05032013",45,2013,3,5,2013-03-05,"Tuesday"
"216","05032014",45,2014,3,5,2014-03-05,"Wednesday"
"217","05042011",53,2011,4,5,2011-04-05,"Tuesday"
"218","05042012",70,2012,4,5,2012-04-05,"Thursday"
"219","05042013",67,2013,4,5,2013-04-05,"Friday"
"220","05042014",67,2014,4,5,2014-04-05,"Saturday"
"221","05052010",1,2010,5,5,2010-05-05,"Wednesday"
"222","05052011",50,2011,5,5,2011-05-05,"Thursday"
"223","05052012",48,2012,5,5,2012-05-05,"Saturday"
"224","05052013",78,2013,5,5,2013-05-05,"Sunday"
"225","05052014",3,2014,5,5,2014-05-05,"Monday"
"226","05062010",2,2010,6,5,2010-06-05,"Saturday"
"227","05062011",31,2011,6,5,2011-06-05,"Sunday"
"228","05062012",72,2012,6,5,2012-06-05,"Tuesday"
"229","05062013",83,2013,6,5,2013-06-05,"Wednesday"
"230","05072010",5,2010,7,5,2010-07-05,"Monday"
"231","05072011",49,2011,7,5,2011-07-05,"Tuesday"
"232","05072012",71,2012,7,5,2012-07-05,"Thursday"
"233","05072013",70,2013,7,5,2013-07-05,"Friday"
"234","05082010",7,2010,8,5,2010-08-05,"Thursday"
"235","05082011",44,2011,8,5,2011-08-05,"Friday"
"236","05082012",55,2012,8,5,2012-08-05,"Sunday"
"237","05082013",53,2013,8,5,2013-08-05,"Monday"
"238","05092010",7,2010,9,5,2010-09-05,"Sunday"
"239","05092011",43,2011,9,5,2011-09-05,"Monday"
"240","05092012",53,2012,9,5,2012-09-05,"Wednesday"
"241","05092013",75,2013,9,5,2013-09-05,"Thursday"
"242","05102009",2,2009,10,5,2009-10-05,"Monday"
"243","05102010",11,2010,10,5,2010-10-05,"Tuesday"
"244","05102011",33,2011,10,5,2011-10-05,"Wednesday"
"245","05102012",65,2012,10,5,2012-10-05,"Friday"
"246","05102013",57,2013,10,5,2013-10-05,"Saturday"
"247","05112010",10,2010,11,5,2010-11-05,"Friday"
"248","05112011",32,2011,11,5,2011-11-05,"Saturday"
"249","05112012",59,2012,11,5,2012-11-05,"Monday"
"250","05112013",50,2013,11,5,2013-11-05,"Tuesday"
"251","05122010",12,2010,12,5,2010-12-05,"Sunday"
"252","05122011",44,2011,12,5,2011-12-05,"Monday"
"253","05122012",64,2012,12,5,2012-12-05,"Wednesday"
"254","05122013",46,2013,12,5,2013-12-05,"Thursday"
"255","06012011",21,2011,1,6,2011-01-06,"Thursday"
"256","06012012",36,2012,1,6,2012-01-06,"Friday"
"257","06012013",54,2013,1,6,2013-01-06,"Sunday"
"258","06012014",33,2014,1,6,2014-01-06,"Monday"
"259","06022011",19,2011,2,6,2011-02-06,"Sunday"
"260","06022012",38,2012,2,6,2012-02-06,"Monday"
"261","06022013",63,2013,2,6,2013-02-06,"Wednesday"
"262","06022014",40,2014,2,6,2014-02-06,"Thursday"
"263","06032011",26,2011,3,6,2011-03-06,"Sunday"
"264","06032012",62,2012,3,6,2012-03-06,"Tuesday"
"265","06032013",61,2013,3,6,2013-03-06,"Wednesday"
"266","06032014",35,2014,3,6,2014-03-06,"Thursday"
"267","06042010",2,2010,4,6,2010-04-06,"Tuesday"
"268","06042011",45,2011,4,6,2011-04-06,"Wednesday"
"269","06042012",36,2012,4,6,2012-04-06,"Friday"
"270","06042013",61,2013,4,6,2013-04-06,"Saturday"
"271","06042014",39,2014,4,6,2014-04-06,"Sunday"
"272","06052011",49,2011,5,6,2011-05-06,"Friday"
"273","06052012",43,2012,5,6,2012-05-06,"Sunday"
"274","06052013",98,2013,5,6,2013-05-06,"Monday"
"275","06052014",3,2014,5,6,2014-05-06,"Tuesday"
"276","06062010",2,2010,6,6,2010-06-06,"Sunday"
"277","06062011",33,2011,6,6,2011-06-06,"Monday"
"278","06062012",75,2012,6,6,2012-06-06,"Wednesday"
"279","06062013",74,2013,6,6,2013-06-06,"Thursday"
"280","06072010",9,2010,7,6,2010-07-06,"Tuesday"
"281","06072011",42,2011,7,6,2011-07-06,"Wednesday"
"282","06072012",65,2012,7,6,2012-07-06,"Friday"
"283","06072013",78,2013,7,6,2013-07-06,"Saturday"
"284","06082010",5,2010,8,6,2010-08-06,"Friday"
"285","06082011",52,2011,8,6,2011-08-06,"Saturday"
"286","06082012",35,2012,8,6,2012-08-06,"Monday"
"287","06082013",44,2013,8,6,2013-08-06,"Tuesday"
"288","06092010",3,2010,9,6,2010-09-06,"Monday"
"289","06092011",42,2011,9,6,2011-09-06,"Tuesday"
"290","06092012",74,2012,9,6,2012-09-06,"Thursday"
"291","06092013",74,2013,9,6,2013-09-06,"Friday"
"292","06102010",10,2010,10,6,2010-10-06,"Wednesday"
"293","06102011",44,2011,10,6,2011-10-06,"Thursday"
"294","06102012",70,2012,10,6,2012-10-06,"Saturday"
"295","06102013",55,2013,10,6,2013-10-06,"Sunday"
"296","06112010",3,2010,11,6,2010-11-06,"Saturday"
"297","06112011",38,2011,11,6,2011-11-06,"Sunday"
"298","06112012",53,2012,11,6,2012-11-06,"Tuesday"
"299","06112013",31,2013,11,6,2013-11-06,"Wednesday"
"300","06122010",25,2010,12,6,2010-12-06,"Monday"
"301","06122011",50,2011,12,6,2011-12-06,"Tuesday"
"302","06122012",66,2012,12,6,2012-12-06,"Thursday"
"303","06122013",40,2013,12,6,2013-12-06,"Friday"
"304","07012011",35,2011,1,7,2011-01-07,"Friday"
"305","07012012",39,2012,1,7,2012-01-07,"Saturday"
"306","07012013",47,2013,1,7,2013-01-07,"Monday"
"307","07012014",31,2014,1,7,2014-01-07,"Tuesday"
"308","07022011",29,2011,2,7,2011-02-07,"Monday"
"309","07022012",38,2012,2,7,2012-02-07,"Tuesday"
"310","07022013",47,2013,2,7,2013-02-07,"Thursday"
"311","07022014",54,2014,2,7,2014-02-07,"Friday"
"312","07032011",36,2011,3,7,2011-03-07,"Monday"
"313","07032012",82,2012,3,7,2012-03-07,"Wednesday"
"314","07032013",66,2013,3,7,2013-03-07,"Thursday"
"315","07032014",47,2014,3,7,2014-03-07,"Friday"
"316","07042011",41,2011,4,7,2011-04-07,"Thursday"
"317","07042012",58,2012,4,7,2012-04-07,"Saturday"
"318","07042013",74,2013,4,7,2013-04-07,"Sunday"
"319","07042014",51,2014,4,7,2014-04-07,"Monday"
"320","07052010",6,2010,5,7,2010-05-07,"Friday"
"321","07052011",26,2011,5,7,2011-05-07,"Saturday"
"322","07052012",61,2012,5,7,2012-05-07,"Monday"
"323","07052013",74,2013,5,7,2013-05-07,"Tuesday"
"324","07062010",3,2010,6,7,2010-06-07,"Monday"
"325","07062011",47,2011,6,7,2011-06-07,"Tuesday"
"326","07062012",69,2012,6,7,2012-06-07,"Thursday"
"327","07062013",67,2013,6,7,2013-06-07,"Friday"
"328","07072010",7,2010,7,7,2010-07-07,"Wednesday"
"329","07072011",55,2011,7,7,2011-07-07,"Thursday"
"330","07072012",37,2012,7,7,2012-07-07,"Saturday"
"331","07072013",80,2013,7,7,2013-07-07,"Sunday"
"332","07082010",1,2010,8,7,2010-08-07,"Saturday"
"333","07082011",32,2011,8,7,2011-08-07,"Sunday"
"334","07082012",72,2012,8,7,2012-08-07,"Tuesday"
"335","07082013",70,2013,8,7,2013-08-07,"Wednesday"
"336","07092010",14,2010,9,7,2010-09-07,"Tuesday"
"337","07092011",47,2011,9,7,2011-09-07,"Wednesday"
"338","07092012",69,2012,9,7,2012-09-07,"Friday"
"339","07092013",90,2013,9,7,2013-09-07,"Saturday"
"340","07102010",5,2010,10,7,2010-10-07,"Thursday"
"341","07102011",35,2011,10,7,2011-10-07,"Friday"
"342","07102012",36,2012,10,7,2012-10-07,"Sunday"
"343","07102013",54,2013,10,7,2013-10-07,"Monday"
"344","07112010",5,2010,11,7,2010-11-07,"Sunday"
"345","07112011",36,2011,11,7,2011-11-07,"Monday"
"346","07112012",77,2012,11,7,2012-11-07,"Wednesday"
"347","07112013",52,2013,11,7,2013-11-07,"Thursday"
"348","07122010",21,2010,12,7,2010-12-07,"Tuesday"
"349","07122011",41,2011,12,7,2011-12-07,"Wednesday"
"350","07122012",46,2012,12,7,2012-12-07,"Friday"
"351","07122013",42,2013,12,7,2013-12-07,"Saturday"
"352","08012010",1,2010,1,8,2010-01-08,"Friday"
"353","08012011",25,2011,1,8,2011-01-08,"Saturday"
"354","08012012",26,2012,1,8,2012-01-08,"Sunday"
"355","08012013",52,2013,1,8,2013-01-08,"Tuesday"
"356","08012014",38,2014,1,8,2014-01-08,"Wednesday"
"357","08022011",22,2011,2,8,2011-02-08,"Tuesday"
"358","08022012",35,2012,2,8,2012-02-08,"Wednesday"
"359","08022013",42,2013,2,8,2013-02-08,"Friday"
"360","08022014",36,2014,2,8,2014-02-08,"Saturday"
"361","08032011",41,2011,3,8,2011-03-08,"Tuesday"
"362","08032012",44,2012,3,8,2012-03-08,"Thursday"
"363","08032013",87,2013,3,8,2013-03-08,"Friday"
"364","08032014",49,2014,3,8,2014-03-08,"Saturday"
"365","08042010",1,2010,4,8,2010-04-08,"Thursday"
"366","08042011",46,2011,4,8,2011-04-08,"Friday"
"367","08042012",42,2012,4,8,2012-04-08,"Sunday"
"368","08042013",64,2013,4,8,2013-04-08,"Monday"
"369","08042014",63,2014,4,8,2014-04-08,"Tuesday"
"370","08052011",31,2011,5,8,2011-05-08,"Sunday"
"371","08052012",66,2012,5,8,2012-05-08,"Tuesday"
"372","08052013",76,2013,5,8,2013-05-08,"Wednesday"
"373","08052014",1,2014,5,8,2014-05-08,"Thursday"
"374","08062010",4,2010,6,8,2010-06-08,"Tuesday"
"375","08062011",38,2011,6,8,2011-06-08,"Wednesday"
"376","08062012",65,2012,6,8,2012-06-08,"Friday"
"377","08062013",86,2013,6,8,2013-06-08,"Saturday"
"378","08072009",1,2009,7,8,2009-07-08,"Wednesday"
"379","08072010",8,2010,7,8,2010-07-08,"Thursday"
"380","08072011",37,2011,7,8,2011-07-08,"Friday"
"381","08072012",93,2012,7,8,2012-07-08,"Sunday"
"382","08072013",88,2013,7,8,2013-07-08,"Monday"
"383","08082010",6,2010,8,8,2010-08-08,"Sunday"
"384","08082011",32,2011,8,8,2011-08-08,"Monday"
"385","08082012",72,2012,8,8,2012-08-08,"Wednesday"
"386","08082013",75,2013,8,8,2013-08-08,"Thursday"
"387","08092010",6,2010,9,8,2010-09-08,"Wednesday"
"388","08092011",35,2011,9,8,2011-09-08,"Thursday"
"389","08092012",69,2012,9,8,2012-09-08,"Saturday"
"390","08092013",75,2013,9,8,2013-09-08,"Sunday"
"391","08102010",10,2010,10,8,2010-10-08,"Friday"
